Method,K,gamma,time_cost
ClusterMedian,3,107,5.121806859970093
ClusterMedian,3,109,5.226555109024048
ClusterMedian,3,111,5.220777988433838
ClusterMedian,3,113,5.209219932556152
ClusterMedian,3,115,5.226655960083008
ClusterMedian,3,117,5.1770570278167725
ClusterMedian,3,119,5.252737045288086
ClusterMedian,3,121,5.204789876937866
ClusterMedian,3,123,5.248208284378052
ClusterMedian,3,125,5.247628927230835
ClusterMedian,3,127,5.184599161148071
ClusterMedian,3,129,5.197845935821533
ClusterMedian,3,131,5.32715106010437
ClusterMedian,3,133,5.892446994781494
ClusterMedian,3,135,5.624221086502075
ClusterMedian,3,137,5.317776679992676
ClusterMedian,3,139,5.444922208786011
ClusterMedian,3,141,5.7007832527160645
ClusterMedian,3,143,6.125681161880493
ClusterMedian,3,145,5.657567024230957
ClusterMedian,3,147,5.610965013504028
ClusterMedian,3,149,5.499966144561768
RandomDataPoint,3,5,5.7497782707214355
RandomDataPoint,3,7,5.592051029205322
RandomDataPoint,3,9,5.308154106140137
RandomDataPoint,3,11,5.25494909286499
RandomDataPoint,3,13,5.76263427734375
RandomDataPoint,3,15,5.276910066604614
RandomDataPoint,3,17,5.254163980484009
RandomDataPoint,3,19,5.292695045471191
RandomDataPoint,3,21,5.522719860076904
RandomDataPoint,3,23,5.669270038604736
RandomDataPoint,3,25,5.7168238162994385
RandomDataPoint,3,27,5.23959493637085
RandomDataPoint,3,29,5.42671275138855
RandomDataPoint,3,31,5.2185447216033936
RandomDataPoint,3,33,5.330590009689331
RandomDataPoint,3,35,5.269424200057983
RandomDataPoint,3,37,5.387739896774292
RandomDataPoint,3,39,5.562687873840332
RandomDataPoint,3,41,5.835301876068115
RandomDataPoint,3,43,5.643446683883667
RandomDataPoint,3,45,5.597301959991455
RandomDataPoint,3,47,5.6074841022491455
RandomDataPoint,3,49,5.618521213531494
RandomDataPoint,3,51,5.586016416549683
RandomDataPoint,3,53,5.558872938156128
RandomDataPoint,3,55,5.391545057296753
RandomDataPoint,3,57,5.5053489208221436
RandomDataPoint,3,59,5.201447010040283
RandomDataPoint,3,61,5.555552959442139
RandomDataPoint,3,63,5.660573959350586
RandomDataPoint,3,65,5.585219860076904
RandomDataPoint,3,67,5.576195955276489
RandomDataPoint,3,69,5.567183971405029
RandomDataPoint,3,71,5.872763156890869
RandomDataPoint,3,73,5.744338035583496
RandomDataPoint,3,75,5.505989074707031
RandomDataPoint,3,77,5.701417922973633
RandomDataPoint,3,79,5.924420118331909
RandomDataPoint,3,81,5.745331048965454
RandomDataPoint,3,83,6.13739275932312
RandomDataPoint,3,85,5.8395140171051025
RandomDataPoint,3,87,5.891561269760132
RandomDataPoint,3,89,5.762176036834717
RandomDataPoint,3,91,5.659923791885376
RandomDataPoint,3,93,5.628735065460205
RandomDataPoint,3,95,5.835411310195923
RandomDataPoint,3,97,6.001859903335571
RandomDataPoint,3,99,6.002951145172119
RandomDataPoint,3,101,5.7440690994262695
RandomDataPoint,3,103,5.9544148445129395
RandomDataPoint,3,105,5.935902833938599
RandomDataPoint,3,107,6.052941083908081
RandomDataPoint,3,109,5.755872964859009
RandomDataPoint,3,111,5.628833055496216
RandomDataPoint,3,113,5.596282720565796
RandomDataPoint,3,115,5.952450752258301
RandomDataPoint,3,117,5.238616228103638
RandomDataPoint,3,119,5.411197185516357
RandomDataPoint,3,121,5.696857213973999
RandomDataPoint,3,123,5.650897026062012
RandomDataPoint,3,125,5.5455968379974365
RandomDataPoint,3,127,5.6733479499816895
RandomDataPoint,3,129,5.779336929321289
RandomDataPoint,3,131,5.761713027954102
RandomDataPoint,3,133,5.698310852050781
RandomDataPoint,3,135,5.818269968032837
RandomDataPoint,3,137,5.771275758743286
RandomDataPoint,3,139,5.886331796646118
RandomDataPoint,3,141,5.848190069198608
RandomDataPoint,3,143,5.85932993888855
RandomDataPoint,3,145,5.950279951095581
RandomDataPoint,3,147,5.951703071594238
RandomDataPoint,3,149,5.951634168624878
Random,3,5,5.988300085067749
Random,3,7,5.89195704460144
Random,3,9,5.6688947677612305
Random,3,11,5.65582013130188
Random,3,13,5.2705371379852295
Random,3,15,5.672168970108032
Random,3,17,5.554660081863403
Random,3,19,5.880596160888672
Random,3,21,5.482583045959473
Random,3,23,5.688384056091309
Random,3,25,5.578073978424072
Random,3,27,5.733857154846191
Random,3,29,5.828940153121948
