Method,K,gamma,time_cost
RandomDataPoint,2,131,5.4846577644348145
RandomDataPoint,2,133,5.900472164154053
RandomDataPoint,2,135,5.910325050354004
RandomDataPoint,2,137,5.552194118499756
RandomDataPoint,2,139,5.671021938323975
RandomDataPoint,2,141,5.3842222690582275
RandomDataPoint,2,143,5.392509937286377
RandomDataPoint,2,145,5.400510311126709
RandomDataPoint,2,147,5.310270071029663
RandomDataPoint,2,149,5.270906209945679
Random,2,5,5.222658634185791
Random,2,7,5.72727108001709
Random,2,9,6.150059700012207
Random,2,11,5.97388219833374
Random,2,13,6.067350149154663
Random,2,15,5.780497074127197
Random,2,17,5.660090684890747
Random,2,19,5.321375846862793
Random,2,21,5.424633026123047
Random,2,23,5.536748886108398
Random,2,25,6.2606542110443115
Random,2,27,5.906943082809448
Random,2,29,5.675987958908081
Random,2,31,5.8091230392456055
Random,2,33,5.781024217605591
Random,2,35,5.280998229980469
Random,2,37,5.239392042160034
Random,2,39,5.203664779663086
Random,2,41,5.147634983062744
Random,2,43,5.1752777099609375
Random,2,45,5.131483316421509
Random,2,47,5.346287965774536
Random,2,49,5.707757949829102
Random,2,51,5.313869953155518
Random,2,53,5.59823203086853
Random,2,55,6.384135007858276
Random,2,57,5.929621934890747
Random,2,59,5.96578311920166
Random,2,61,5.155457019805908
Random,2,63,5.254767894744873
Random,2,65,5.286302804946899
Random,2,67,5.269607067108154
Random,2,69,6.026827096939087
Random,2,71,5.988897085189819
Random,2,73,5.347929000854492
Random,2,75,5.574095010757446
Random,2,77,5.772944927215576
Random,2,79,5.8188090324401855
Random,2,81,5.92531418800354
Random,2,83,5.647687911987305
Random,2,85,5.3818559646606445
Random,2,87,5.469396114349365
Random,2,89,5.583116054534912
Random,2,91,5.918560028076172
Random,2,93,5.7191150188446045
Random,2,95,5.653944969177246
Random,2,97,5.671544790267944
Random,2,99,5.572866916656494
Random,2,101,5.771841049194336
Random,2,103,5.820984840393066
Random,2,105,5.8139488697052
Random,2,107,5.847659111022949
Random,2,109,5.974498987197876
Random,2,111,5.758470773696899
Random,2,113,5.739637851715088
Random,2,115,5.450470209121704
Random,2,117,5.743221998214722
Random,2,119,5.733025789260864
Random,2,121,6.208347797393799
Random,2,123,5.814754247665405
Random,2,125,5.891444206237793
Random,2,127,5.919750213623047
Random,2,129,6.070869207382202
Random,2,131,6.137934923171997
Random,2,133,5.995288133621216
Random,2,135,5.717960834503174
Random,2,137,5.559319972991943
Random,2,139,5.404239892959595
Random,2,141,5.2091100215911865
Random,2,143,5.7754738330841064
Random,2,145,5.37351393699646
Random,2,147,5.857486248016357
Random,2,149,5.699799060821533
